2019-11-21 13:36:21,326 DEBUG unit_width = 24, i_unit = 1, i_y = 5
2019-11-21 13:36:21,326 DEBUG unit_width = 24, i_unit = 2, i_y = 3
2019-11-21 13:36:21,326 DEBUG unit_width = 24, i_unit = 2, i_y = 4
2019-11-21 13:36:21,326 DEBUG unit_width = 24, i_unit = 2, i_y = 5
2019-11-21 13:36:21,326 DEBUG unit_width = 24, i_unit = 3, i_y = 3
2019-11-21 13:36:21,326 DEBUG unit_width = 24, i_unit = 3, i_y = 4
2019-11-21 13:36:21,326 DEBUG unit_width = 24, i_unit = 3, i_y = 5
2019-11-21 13:36:21,326 DEBUG unit_width = 24, i_unit = 4, i_y = 3
2019-11-21 13:36:21,326 DEBUG unit_width = 24, i_unit = 4, i_y = 4
2019-11-21 13:36:21,326 DEBUG unit_width = 24, i_unit = 4, i_y = 5
2019-11-21 13:36:21,326 DEBUG unit_height = 72, i_unit = 0, i_x = 0
2019-11-21 13:36:21,326 DEBUG unit_height = 72, i_unit = 0, i_x = 1
2019-11-21 13:36:21,326 DEBUG unit_height = 72, i_unit = 0, i_x = 2
2019-11-21 13:36:21,326 DEBUG unit_height = 72, i_unit = 0, i_x = 3
2019-11-21 13:36:21,326 DEBUG unit_height = 72, i_unit = 0, i_x = 4
2019-11-21 13:36:21,327 DEBUG unit_height = 72, i_unit = 1, i_x = 0
2019-11-21 13:36:21,327 DEBUG unit_height = 72, i_unit = 1, i_x = 1
2019-11-21 13:36:21,327 DEBUG unit_height = 72, i_unit = 1, i_x = 2
2019-11-21 13:36:21,327 DEBUG unit_height = 72, i_unit = 1, i_x = 3
2019-11-21 13:36:21,327 DEBUG unit_height = 72, i_unit = 1, i_x = 4
2019-11-21 13:36:21,327 DEBUG unit_height = 72, i_unit = 2, i_x = 0
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 0, i_x = 0
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 0, i_x = 1
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 0, i_x = 2
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 0, i_x = 3
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 0, i_x = 4
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 1, i_x = 0
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 1, i_x = 1
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 1, i_x = 2
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 1, i_x = 3
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 1, i_x = 4
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 2, i_x = 0
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 2, i_x = 1
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 2, i_x = 2
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 2, i_x = 3
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 2, i_x = 4
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 3, i_x = 0
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 3, i_x = 1
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 3, i_x = 2
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 3, i_x = 3
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 3, i_x = 4
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 4, i_x = 0
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 4, i_x = 1
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 4, i_x = 2
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 4, i_x = 3
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 4, i_x = 4
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 5, i_x = 0
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 5, i_x = 1
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 5, i_x = 2
2019-11-21 13:36:39,196 DEBUG unit_height = 12, i_unit = 5, i_x = 3
2019-11-21 13:36:39,197 DEBUG unit_height = 12, i_unit = 5, i_x = 4
